image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
256.png,256,256,motion9,columns,1,30,16.579560,3.952819,0.975892
256.png,256,256,motion9,columns,2,30,8.647580,7.578536,1.871028
256.png,256,256,motion9,columns,4,30,5.451837,12.020903,2.967781
256.png,256,256,motion9,columns,8,30,5.358263,12.230829,3.019609
256.png,256,256,motion9,grid,1,30,16.313003,4.017409,0.991838
256.png,256,256,motion9,grid,2,30,8.914650,7.351494,1.814974
256.png,256,256,motion9,grid,4,30,5.546000,11.816805,2.917393
256.png,256,256,motion9,grid,8,30,4.800347,13.652347,3.370561
256.png,256,256,median3,sequential,1,30,5.366460,12.212147,1.000000
256.png,256,256,median3,pixels,1,30,5.847980,11.206605,0.917660
256.png,256,256,median3,pixels,2,30,4.530813,14.464511,1.184436
256.png,256,256,median3,pixels,4,30,3.441390,19.043468,1.559387
256.png,256,256,median3,pixels,8,30,2.651223,24.719155,2.024145
256.png,256,256,median3,rows,1,30,5.649557,11.600202,0.949890
256.png,256,256,median3,rows,2,30,3.145577,20.834336,1.706034
256.png,256,256,median3,rows,4,30,2.172130,30.171307,2.470598
256.png,256,256,median3,rows,8,30,1.842683,35.565525,2.912307
256.png,256,256,median3,columns,1,30,5.681217,11.535557,0.944597
256.png,256,256,median3,columns,2,30,3.099133,21.146557,1.731600
256.png,256,256,median3,columns,4,30,2.326580,28.168384,2.306587
256.png,256,256,median3,columns,8,30,1.829583,35.820178,2.933160
256.png,256,256,median3,grid,1,30,5.443727,12.038812,0.985806
256.png,256,256,median3,grid,2,30,3.199677,20.482070,1.677188
256.png,256,256,median3,grid,4,30,2.337127,28.041270,2.296178
256.png,256,256,median3,grid,8,30,1.890007,34.675010,2.839387
256.png,256,256,median5,sequential,1,30,20.554800,3.188355,1.000000
256.png,256,256,median5,pixels,1,30,20.248660,3.236560,1.015119
256.png,256,256,median5,pixels,2,30,11.983507,5.468850,1.715258
256.png,256,256,median5,pixels,4,30,7.583463,8.641962,2.710477
256.png,256,256,median5,pixels,8,30,5.775740,11.346771,3.558817
256.png,256,256,median5,rows,1,30,21.169660,3.095751,0.970956
256.png,256,256,median5,rows,2,30,12.488620,5.247657,1.645882
256.png,256,256,median5,rows,4,30,7.718350,8.490934,2.663108
256.png,256,256,median5,rows,8,30,7.255020,9.033194,2.833183
256.png,256,256,median5,columns,1,30,21.688920,3.021635,0.947710
256.png,256,256,median5,columns,2,30,11.602677,5.648352,1.771557
256.png,256,256,median5,columns,4,30,7.475233,8.767084,2.749720
256.png,256,256,median5,columns,8,30,5.047640,12.983493,4.072160
256.png,256,256,median5,grid,1,30,22.301573,2.938627,0.921675
256.png,256,256,median5,grid,2,30,14.778983,4.434405,1.390813
256.png,256,256,median5,grid,4,30,8.163457,8.027972,2.517904
256.png,256,256,median5,grid,8,30,5.829130,11.242844,3.526221
512.jpg,512,512,gaussian3,sequential,1,20,14.806260,17.704944,1.000000
512.jpg,512,512,gaussian3,pixels,1,20,16.687105,15.709376,0.887288
512.jpg,512,512,gaussian3,pixels,2,20,13.575835,19.309604,1.090633
512.jpg,512,512,gaussian3,pixels,4,20,11.025000,23.777234,1.342971
512.jpg,512,512,gaussian3,pixels,8,20,10.340460,25.351290,1.431876
512.jpg,512,512,gaussian3,rows,1,20,10.767895,24.344963,1.375038
512.jpg,512,512,gaussian3,rows,2,20,6.128120,42.777230,2.416118
512.jpg,512,512,gaussian3,rows,4,20,3.754720,69.817190,3.943373
512.jpg,512,512,gaussian3,rows,8,20,4.271220,61.374502,3.466518
512.jpg,512,512,gaussian3,columns,1,20,13.317730,19.683835,1.111771
512.jpg,512,512,gaussian3,columns,2,20,16.213870,16.167886,0.913185
512.jpg,512,512,gaussian3,columns,4,20,5.548065,47.249627,2.668725
512.jpg,512,512,gaussian3,columns,8,20,4.554670,57.554993,3.250787
512.jpg,512,512,gaussian3,grid,1,20,10.559800,24.824713,1.402135
512.jpg,512,512,gaussian3,grid,2,20,5.642025,46.462751,2.624281
512.jpg,512,512,gaussian3,grid,4,20,3.905125,67.128197,3.791495
512.jpg,512,512,gaussian3,grid,8,20,3.582315,73.177261,4.133154
512.jpg,512,512,gaussian5,sequential,1,20,44.995565,5.825996,1.000000
512.jpg,512,512,gaussian5,pixels,1,20,27.930590,9.385552,1.610978
512.jpg,512,512,gaussian5,pixels,2,20,17.601145,14.893577,2.556400
512.jpg,512,512,gaussian5,pixels,4,20,13.315785,19.686710,3.379115
512.jpg,512,512,gaussian5,pixels,8,20,11.314390,23.169079,3.976844
512.jpg,512,512,gaussian5,rows,1,20,24.312895,10.782097,1.850687
512.jpg,512,512,gaussian5,rows,2,20,12.265965,21.371657,3.668327
512.jpg,512,512,gaussian5,rows,4,20,8.114585,32.305287,5.545024
512.jpg,512,512,gaussian5,rows,8,20,6.568180,39.911208,6.850538
512.jpg,512,512,gaussian5,columns,1,20,22.452805,11.675334,2.004006
512.jpg,512,512,gaussian5,columns,2,20,11.810740,22.195392,3.809716
512.jpg,512,512,gaussian5,columns,4,20,7.847640,33.404183,5.733643
512.jpg,512,512,gaussian5,columns,8,20,6.672435,39.287606,6.743500
512.jpg,512,512,gaussian5,grid,1,20,22.093030,11.865462,2.036641
512.jpg,512,512,gaussian5,grid,2,20,12.057125,21.741833,3.731865
512.jpg,512,512,gaussian5,grid,4,20,7.317540,35.824061,6.149002
512.jpg,512,512,gaussian5,grid,8,20,6.647530,39.434798,6.768764
512.jpg,512,512,blur5,sequential,1,20,21.503405,12.190814,1.000000
512.jpg,512,512,blur5,pixels,1,20,26.256155,9.984097,0.818985
512.jpg,512,512,blur5,pixels,2,20,16.671260,15.724306,1.289849
512.jpg,512,512,blur5,pixels,4,20,13.159635,19.920309,1.634043
512.jpg,512,512,blur5,pixels,8,20,10.842110,24.178320,1.983323
512.jpg,512,512,blur5,rows,1,20,22.216300,11.799625,0.967911
512.jpg,512,512,blur5,rows,2,20,13.014760,20.142054,1.652232
512.jpg,512,512,blur5,rows,4,20,7.489915,34.999596,2.870981
512.jpg,512,512,blur5,rows,8,20,6.587450,39.794458,3.264299
512.jpg,512,512,blur5,columns,1,20,24.602335,10.655249,0.874039
512.jpg,512,512,blur5,columns,2,20,12.298050,21.315900,1.748522
512.jpg,512,512,blur5,columns,4,20,7.233830,36.238618,2.972617
512.jpg,512,512,blur5,columns,8,20,6.608570,39.667281,3.253867
512.jpg,512,512,blur5,grid,1,20,22.063900,11.881127,0.974597
512.jpg,512,512,blur5,grid,2,20,12.917190,20.294197,1.664712
512.jpg,512,512,blur5,grid,4,20,11.157670,23.494511,1.927231
512.jpg,512,512,blur5,grid,8,20,7.715495,33.976304,2.787042
512.jpg,512,512,sharpen3,sequential,1,20,9.601265,27.303069,1.000000
512.jpg,512,512,sharpen3,pixels,1,20,14.081895,18.615676,0.681816
512.jpg,512,512,sharpen3,pixels,2,20,12.707400,20.629240,0.755565
512.jpg,512,512,sharpen3,pixels,4,20,11.255820,23.289640,0.853004
512.jpg,512,512,sharpen3,pixels,8,20,8.405655,31.186624,1.142239
512.jpg,512,512,sharpen3,rows,1,20,9.929475,26.400590,0.966946
512.jpg,512,512,sharpen3,rows,2,20,5.347055,49.025866,1.795617
512.jpg,512,512,sharpen3,rows,4,20,4.040350,64.881508,2.376345
512.jpg,512,512,sharpen3,rows,8,20,3.210725,81.646357,2.990373
512.jpg,512,512,sharpen3,columns,1,20,10.141000,25.849916,0.946777
512.jpg,512,512,sharpen3,columns,2,20,5.561130,47.138621,1.726495
512.jpg,512,512,sharpen3,columns,4,20,3.724110,70.391046,2.578137
512.jpg,512,512,sharpen3,columns,8,20,3.280240,79.916104,2.927001
512.jpg,512,512,sharpen3,grid,1,20,9.894205,26.494701,0.970393
512.jpg,512,512,sharpen3,grid,2,20,5.469435,47.928899,1.755440
512.jpg,512,512,sharpen3,grid,4,20,3.561025,73.614760,2.696208
512.jpg,512,512,sharpen3,grid,8,20,3.560215,73.631508,2.696822
512.jpg,512,512,motion9,sequential,1,20,62.918220,4.166424,1.000000
512.jpg,512,512,motion9,pixels,1,20,67.310435,3.894552,0.934747
512.jpg,512,512,motion9,pixels,2,20,42.325465,6.193529,1.486533
512.jpg,512,512,motion9,pixels,4,20,25.485895,10.285846,2.468747
512.jpg,512,512,motion9,pixels,8,20,20.677120,12.677974,3.042891
512.jpg,512,512,motion9,rows,1,20,64.228250,4.081444,0.979604
512.jpg,512,512,motion9,rows,2,20,33.976355,7.715483,1.851824
512.jpg,512,512,motion9,rows,4,20,21.480710,12.203693,2.929057
512.jpg,512,512,motion9,rows,8,20,18.264180,14.352903,3.444897
512.jpg,512,512,motion9,columns,1,20,64.103630,4.089378,0.981508
