image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
2048.jpg,2048,2048,gaussian3,columns,2,6,81.054117,51.746958,1.890028
2048.jpg,2048,2048,gaussian3,columns,4,6,46.443417,90.309979,3.298520
2048.jpg,2048,2048,gaussian3,columns,8,6,42.887150,97.798618,3.572038
2048.jpg,2048,2048,gaussian3,grid,1,6,149.580800,28.040390,1.024159
2048.jpg,2048,2048,gaussian3,grid,2,6,79.903017,52.492436,1.917256
2048.jpg,2048,2048,gaussian3,grid,4,6,51.656450,81.196133,2.965642
2048.jpg,2048,2048,gaussian3,grid,8,6,42.480533,98.734730,3.606229
2048.jpg,2048,2048,gaussian5,sequential,1,6,347.143717,12.082327,1.000000
2048.jpg,2048,2048,gaussian5,pixels,1,6,422.267333,9.932817,0.822095
2048.jpg,2048,2048,gaussian5,pixels,2,6,283.998183,14.768771,1.222345
2048.jpg,2048,2048,gaussian5,pixels,4,6,207.893650,20.175239,1.669814
2048.jpg,2048,2048,gaussian5,pixels,8,6,163.834983,25.600784,2.118862
2048.jpg,2048,2048,gaussian5,rows,1,6,349.204467,12.011026,0.994099
2048.jpg,2048,2048,gaussian5,rows,2,6,182.863533,22.936798,1.898376
2048.jpg,2048,2048,gaussian5,rows,4,6,107.867767,38.883757,3.218234
2048.jpg,2048,2048,gaussian5,rows,8,6,96.996417,43.241845,3.578933
2048.jpg,2048,2048,gaussian5,columns,1,6,358.573400,11.697198,0.968125
2048.jpg,2048,2048,gaussian5,columns,2,6,180.950750,23.179257,1.918443
2048.jpg,2048,2048,gaussian5,columns,4,6,109.182067,38.415686,3.179494
2048.jpg,2048,2048,gaussian5,columns,8,6,96.446900,43.488220,3.599325
2048.jpg,2048,2048,gaussian5,grid,1,6,349.923783,11.986336,0.992055
2048.jpg,2048,2048,gaussian5,grid,2,6,186.609100,22.476417,1.860272
2048.jpg,2048,2048,gaussian5,grid,4,6,111.912400,37.478456,3.101924
2048.jpg,2048,2048,gaussian5,grid,8,6,96.144900,43.624820,3.610631
2048.jpg,2048,2048,blur5,sequential,1,6,350.201367,11.976835,1.000000
2048.jpg,2048,2048,blur5,pixels,1,6,419.078317,10.008401,0.835647
2048.jpg,2048,2048,blur5,pixels,2,6,279.199750,15.022592,1.254304
2048.jpg,2048,2048,blur5,pixels,4,6,199.474367,21.026782,1.755621
2048.jpg,2048,2048,blur5,pixels,8,6,171.389383,24.472368,2.043308
2048.jpg,2048,2048,blur5,rows,1,6,351.494167,11.932784,0.996322
2048.jpg,2048,2048,blur5,rows,2,6,180.906300,23.184953,1.935816
2048.jpg,2048,2048,blur5,rows,4,6,107.531583,39.005322,3.256730
2048.jpg,2048,2048,blur5,rows,8,6,96.502800,43.463029,3.628924
2048.jpg,2048,2048,blur5,columns,1,6,360.361183,11.639167,0.971807
2048.jpg,2048,2048,blur5,columns,2,6,183.500217,22.857216,1.908452
2048.jpg,2048,2048,blur5,columns,4,6,109.455033,38.319882,3.199500
2048.jpg,2048,2048,blur5,columns,8,6,97.856850,42.861629,3.578711
2048.jpg,2048,2048,blur5,grid,1,6,345.143900,12.152334,1.014653
2048.jpg,2048,2048,blur5,grid,2,6,183.003517,22.919254,1.913632
2048.jpg,2048,2048,blur5,grid,4,6,107.961667,38.849937,3.243757
2048.jpg,2048,2048,blur5,grid,8,6,95.926100,43.724325,3.650741
2048.jpg,2048,2048,sharpen3,sequential,1,6,144.419600,29.042485,1.000000
2048.jpg,2048,2048,sharpen3,pixels,1,6,216.082800,19.410633,0.668353
2048.jpg,2048,2048,sharpen3,pixels,2,6,183.978217,22.797829,0.784982
2048.jpg,2048,2048,sharpen3,pixels,4,6,167.263250,25.076064,0.863427
2048.jpg,2048,2048,sharpen3,pixels,8,6,133.724167,31.365340,1.079981
2048.jpg,2048,2048,sharpen3,rows,1,6,153.369933,27.347629,0.941642
2048.jpg,2048,2048,sharpen3,rows,2,6,82.143117,51.060931,1.758146
2048.jpg,2048,2048,sharpen3,rows,4,6,62.043783,67.602325,2.327705
2048.jpg,2048,2048,sharpen3,rows,8,6,45.218333,92.756714,3.193828
2048.jpg,2048,2048,sharpen3,columns,1,6,153.447283,27.333843,0.941168
2048.jpg,2048,2048,sharpen3,columns,2,6,87.377900,48.001886,1.652816
2048.jpg,2048,2048,sharpen3,columns,4,6,55.456750,75.631983,2.604184
2048.jpg,2048,2048,sharpen3,columns,8,6,47.853400,87.649028,3.017959
2048.jpg,2048,2048,sharpen3,grid,1,6,157.332367,26.658876,0.917927
2048.jpg,2048,2048,sharpen3,grid,2,6,91.943950,45.618053,1.570735
2048.jpg,2048,2048,sharpen3,grid,4,6,59.006500,71.082067,2.447520
2048.jpg,2048,2048,sharpen3,grid,8,6,46.208783,90.768544,3.125371
2048.jpg,2048,2048,motion9,sequential,1,6,1017.432550,4.122439,1.000000
2048.jpg,2048,2048,motion9,pixels,1,6,1062.965383,3.945852,0.957164
2048.jpg,2048,2048,motion9,pixels,2,6,673.139733,6.230956,1.511473
2048.jpg,2048,2048,motion9,pixels,4,6,411.240133,10.199160,2.474059
2048.jpg,2048,2048,motion9,pixels,8,6,330.478267,12.691618,3.078667
2048.jpg,2048,2048,motion9,rows,1,6,1025.638083,4.089458,0.992000
2048.jpg,2048,2048,motion9,rows,2,6,553.882200,7.572556,1.836911
2048.jpg,2048,2048,motion9,rows,4,6,344.678767,12.168733,2.951828
2048.jpg,2048,2048,motion9,rows,8,6,277.691717,15.104174,3.663892
2048.jpg,2048,2048,motion9,columns,1,6,1037.587167,4.042363,0.980575
2048.jpg,2048,2048,motion9,columns,2,6,546.718133,7.671785,1.860982
2048.jpg,2048,2048,motion9,columns,4,6,358.175267,11.710200,2.840600
2048.jpg,2048,2048,motion9,columns,8,6,282.242017,14.860665,3.604823
2048.jpg,2048,2048,motion9,grid,1,6,1017.236817,4.123233,1.000192
2048.jpg,2048,2048,motion9,grid,2,6,529.665883,7.918773,1.920895
2048.jpg,2048,2048,motion9,grid,4,6,359.728333,11.659643,2.828336
2048.jpg,2048,2048,motion9,grid,8,6,287.144933,14.606923,3.543272
2048.jpg,2048,2048,median3,sequential,1,6,274.767533,15.264918,1.000000
2048.jpg,2048,2048,median3,pixels,1,6,286.337950,14.648090,0.959592
2048.jpg,2048,2048,median3,pixels,2,6,240.210733,17.460935,1.143860
2048.jpg,2048,2048,median3,pixels,4,6,176.334600,23.786052,1.558217
2048.jpg,2048,2048,median3,pixels,8,6,129.751100,32.325768,2.117651
2048.jpg,2048,2048,median3,rows,1,6,273.646283,15.327466,1.004097
2048.jpg,2048,2048,median3,rows,2,6,144.487500,29.028836,1.901670
2048.jpg,2048,2048,median3,rows,4,6,86.394033,48.548538,3.180399
2048.jpg,2048,2048,median3,rows,8,6,61.766783,67.905495,4.448468
2048.jpg,2048,2048,median3,columns,1,6,284.155700,14.760584,0.966961
2048.jpg,2048,2048,median3,columns,2,6,151.913733,27.609775,1.808708
2048.jpg,2048,2048,median3,columns,4,6,93.842000,44.695382,2.927980
2048.jpg,2048,2048,median3,columns,8,6,63.598783,65.949438,4.320327
2048.jpg,2048,2048,median3,grid,1,6,274.962250,15.254109,0.999292
2048.jpg,2048,2048,median3,grid,2,6,150.484417,27.872016,1.825887
2048.jpg,2048,2048,median3,grid,4,6,95.341267,43.992535,2.881937
2048.jpg,2048,2048,median3,grid,8,6,62.253983,67.374066,4.413654
2048.jpg,2048,2048,median5,sequential,1,6,1165.234467,3.599537,1.000000
2048.jpg,2048,2048,median5,pixels,1,6,1127.776950,3.719090,1.033214
2048.jpg,2048,2048,median5,pixels,2,6,686.830033,6.106757,1.696540
2048.jpg,2048,2048,median5,pixels,4,6,426.876733,9.825562,2.729674
2048.jpg,2048,2048,median5,pixels,8,6,286.749617,14.627061,4.063596
2048.jpg,2048,2048,median5,rows,1,6,1141.092500,3.675691,1.021157
2048.jpg,2048,2048,median5,rows,2,6,613.646100,6.835054,1.898870
2048.jpg,2048,2048,median5,rows,4,6,383.242883,10.944245,3.040460
2048.jpg,2048,2048,median5,rows,8,6,242.581267,17.290305,4.803481
2048.jpg,2048,2048,median5,columns,1,6,1146.308950,3.658965,1.016510
2048.jpg,2048,2048,median5,columns,2,6,622.620567,6.736533,1.871500
2048.jpg,2048,2048,median5,columns,4,6,375.225833,11.178079,3.105422
2048.jpg,2048,2048,median5,columns,8,6,266.156050,15.758815,4.378012
2048.jpg,2048,2048,median5,grid,1,6,1140.553367,3.677429,1.021640
2048.jpg,2048,2048,median5,grid,2,6,637.000500,6.584460,1.829252
2048.jpg,2048,2048,median5,grid,4,6,371.504950,11.290035,3.136525
2048.jpg,2048,2048,median5,grid,8,6,248.382183,16.886493,4.691296
